id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Yogyakarta_2023-11-20T00:00:00,Yogyakarta,2023-11-20 00:00:00,3,Berawan,75,26,79
Yogyakarta_2023-11-20T06:00:00,Yogyakarta,2023-11-20 06:00:00,3,Berawan,50,33,91
Yogyakarta_2023-11-20T12:00:00,Yogyakarta,2023-11-20 12:00:00,3,Berawan,75,28,82
Yogyakarta_2023-11-20T18:00:00,Yogyakarta,2023-11-20 18:00:00,3,Berawan,95,26,79
Yogyakarta_2023-11-21T00:00:00,Yogyakarta,2023-11-21 00:00:00,1,Cerah Berawan,85,26,79
Yogyakarta_2023-11-21T06:00:00,Yogyakarta,2023-11-21 06:00:00,1,Cerah Berawan,50,32,90
Yogyakarta_2023-11-21T12:00:00,Yogyakarta,2023-11-21 12:00:00,3,Berawan,80,26,79
Yogyakarta_2023-11-21T18:00:00,Yogyakarta,2023-11-21 18:00:00,4,Berawan Tebal,90,24,75
Yogyakarta_2023-11-22T00:00:00,Yogyakarta,2023-11-22 00:00:00,3,Berawan,85,26,79
Yogyakarta_2023-11-22T06:00:00,Yogyakarta,2023-11-22 06:00:00,3,Berawan,65,31,88
Yogyakarta_2023-11-22T12:00:00,Yogyakarta,2023-11-22 12:00:00,3,Berawan,85,26,79
Yogyakarta_2023-11-22T18:00:00,Yogyakarta,2023-11-22 18:00:00,3,Berawan,95,24,75
Yogyakarta_2023-11-23T00:00:00,Yogyakarta,2023-11-23 00:00:00,3,Berawan,80,26,79
Yogyakarta_2023-11-23T06:00:00,Yogyakarta,2023-11-23 06:00:00,4,Berawan Tebal,60,31,88
Yogyakarta_2023-11-23T12:00:00,Yogyakarta,2023-11-23 12:00:00,60,Hujan Ringan,80,28,82
Yogyakarta_2023-11-23T18:00:00,Yogyakarta,2023-11-23 18:00:00,3,Berawan,95,26,79
Yogyakarta_2023-11-24T00:00:00,Yogyakarta,2023-11-24 00:00:00,1,Cerah Berawan,80,27,81
Yogyakarta_2023-11-24T06:00:00,Yogyakarta,2023-11-24 06:00:00,3,Berawan,65,32,90
Yogyakarta_2023-11-24T12:00:00,Yogyakarta,2023-11-24 12:00:00,60,Hujan Ringan,80,28,82
Yogyakarta_2023-11-24T18:00:00,Yogyakarta,2023-11-24 18:00:00,3,Berawan,95,26,79
Yogyakarta_2023-11-26T00:00:00,Yogyakarta,2023-11-26 00:00:00,1,Cerah Berawan,85,26,79
Yogyakarta_2023-11-26T06:00:00,Yogyakarta,2023-11-26 06:00:00,61,Hujan Sedang,70,31,88
Yogyakarta_2023-11-26T12:00:00,Yogyakarta,2023-11-26 12:00:00,3,Berawan,85,26,79
Yogyakarta_2023-11-26T18:00:00,Yogyakarta,2023-11-26 18:00:00,3,Berawan,95,24,75
Yogyakarta_2023-11-27T00:00:00,Yogyakarta,2023-11-27 00:00:00,1,Cerah Berawan,85,28,82
Yogyakarta_2023-11-27T06:00:00,Yogyakarta,2023-11-27 06:00:00,1,Cerah Berawan,70,33,91
Yogyakarta_2023-11-27T12:00:00,Yogyakarta,2023-11-27 12:00:00,3,Berawan,85,27,81
Yogyakarta_2023-11-27T18:00:00,Yogyakarta,2023-11-27 18:00:00,3,Berawan,95,26,79
Yogyakarta_2023-11-28T00:00:00,Yogyakarta,2023-11-28 00:00:00,1,Cerah Berawan,80,27,81
Yogyakarta_2023-11-28T06:00:00,Yogyakarta,2023-11-28 06:00:00,1,Cerah Berawan,60,33,91
Yogyakarta_2023-11-28T12:00:00,Yogyakarta,2023-11-28 12:00:00,3,Berawan,80,28,82
Yogyakarta_2023-11-28T18:00:00,Yogyakarta,2023-11-28 18:00:00,3,Berawan,90,25,77
Yogyakarta_2023-11-29T00:00:00,Yogyakarta,2023-11-29 00:00:00,1,Cerah Berawan,85,26,79
Yogyakarta_2023-11-29T06:00:00,Yogyakarta,2023-11-29 06:00:00,60,Hujan Ringan,55,32,90
Yogyakarta_2023-11-29T12:00:00,Yogyakarta,2023-11-29 12:00:00,4,Berawan Tebal,80,27,81
Yogyakarta_2023-11-29T18:00:00,Yogyakarta,2023-11-29 18:00:00,3,Berawan,80,26,79
Yogyakarta_2023-11-30T00:00:00,Yogyakarta,2023-11-30 00:00:00,3,Berawan,85,26,79
Yogyakarta_2023-11-30T06:00:00,Yogyakarta,2023-11-30 06:00:00,60,Hujan Ringan,70,31,88
Yogyakarta_2023-11-30T12:00:00,Yogyakarta,2023-11-30 12:00:00,60,Hujan Ringan,85,26,79
Yogyakarta_2023-11-30T18:00:00,Yogyakarta,2023-11-30 18:00:00,3,Berawan,95,24,75
